latitude,longitude,cone,type
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335667,-72.52944946,0,T
42.39335333,-72.52944183,0,T
42.39335333,-72.52944183,0,T
42.39335333,-72.52944183,0,T
42.39335333,-72.52944183,0,T
42.39335333,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.5294342,0,T
42.39335,-72.5294342,0,T
42.39335,-72.5294342,0,T
42.39335,-72.5294342,0,T
42.39335,-72.5294342,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39335,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
42.39334833,-72.52944183,0,T
