latitude,longitude,cone,type
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
42.39343333,-72.52882385,0,T
42.39343333,-72.52882385,0,T
42.39343333,-72.52882385,0,T
42.39343333,-72.52882385,0,T
42.39343333,-72.52882385,0,T
42.39343333,-72.52882385,0,T
42.39342167,-72.52888489,0,T
42.39342167,-72.52888489,0,T
42.39342167,-72.52888489,0,T
42.39342167,-72.52888489,0,T
42.39342333,-72.52894592,0,T
42.39342333,-72.52894592,0,T
42.39342333,-72.52894592,0,T
42.39342333,-72.52894592,0,T
42.39342333,-72.52894592,0,T
42.39344,-72.52901459,0,T
42.39344,-72.52901459,0,T
42.39344,-72.52901459,0,T
42.39344,-72.52901459,0,T
42.39344,-72.52901459,0,T
42.39344,-72.52901459,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52900696,0,T
42.39346167,-72.52906036,0,T
42.39346167,-72.52906036,0,T
42.39346167,-72.52906036,0,T
42.39346167,-72.52906036,0,T
42.39353667,-72.52903748,0,T
42.39353667,-72.52903748,0,T
42.39353667,-72.52903748,0,T
42.39353667,-72.52903748,0,T
42.39353667,-72.52903748,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.39358333,-72.52907562,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52881622,0,T
42.3937,-72.52884674,0,T
42.3937,-72.52884674,0,T
42.3937,-72.52884674,0,T
42.3937,-72.52884674,0,T
42.3937,-72.52884674,0,T
42.39392667,-72.52873993,0,T
42.39392667,-72.52873993,0,T
42.39392667,-72.52873993,0,T
42.39392667,-72.52873993,0,T
42.39392667,-72.52873993,0,T
42.39404167,-72.52858734,0,T
42.39404167,-72.52858734,0,T
42.39404167,-72.52858734,0,T
42.39404167,-72.52858734,0,T
42.39404167,-72.52858734,0,T
42.39406833,-72.52884674,0,T
42.39406833,-72.52884674,0,T
42.39406833,-72.52884674,0,T
42.39406833,-72.52884674,0,T
42.39406833,-72.52884674,0,T
42.39404833,-72.52888489,0,T
